Date,Location,City,State,Deaths,Injuries,County,GOV,Description
3/22/1974,"Brownstown, Indiana",Brownstown, Indiana,1,0,Jackson County,R,"48-year-old Jessie Blevins, athletic director at Brownstown Central High School, was fatally shot in the school parking lot by a 17-year-old student waiting for him. He gave the police no motive.[224]"
10/4/1974,"Kent, Ohio",Kent, Ohio,0,1,Portage County,D,"19-year-old McKeesport student, Ray D. Gilmore, was wounded in a scuffle with two men in his third floor campus dormitory room. 26-year-old Benjamin F. Goodman and 22-year-old Carl Bell, who were not students, had their .32 caliber pistols taken and were wrestled to the floor by other students.[225]"
12/30/1974,"Olean, New York",Olean, New York,3,11,Cattaraugus County,R,"During a two-and-a-half-hour siege, 18-year-old honor student, Anthony Barbaro, the best on his rifle team, killed three adults in and around his high school and wounded eleven other persons.[217][226] He shot from the windows out at the street and neighborhood. The school was closed for the Christmas holiday.[227]"
2/24/1975,"Penns Grove, New Jersey",Penns Grove, New Jersey,1,1,Salem County,R,"24-year-old David Gary killed the 33-year-old Reverend Thomas Quinlan, inside a classroom at St. James School. Quinlan was the school's principal. A teacher was also wounded.[228]"
3/18/1975,"St. Louis, Missouri",St. Louis, Missouri,1,0,St. Louis County,R,"16-year-old Stephen Goods, a bystander, was killed during a fight between other teens. Three youths were convicted for the homicide.[226]"
9/11/1975,"Oklahoma City, Oklahoma",Oklahoma City, Oklahoma,1,5,Oklahoma County,R,"Student James Briggs killed fellow student Randy Truitt at Grant High School, wounding several others.[229]"
2/12/1976,"Detroit, Michigan",Detroit, Michigan,0,5,Wayne County,D,"Intruders entered Murray-Wright High School, shooting and wounding five students after an apparent dispute over a girlfriend of one of the intruders.[230]"
7/12/1976,"Fullerton, California",Fullerton, California,7,2,Orange County,R,"The gunman, 37-year-old Edward Charles Allaway, was a custodian at the California State University, Fullerton library. Allaway killed seven people and wounded two others in the library's first-floor lobby and at the building's Instructional Media Center (IMC), located in the basement."
11/10/1976,"Detroit, Michigan",Detroit, Michigan,1,0,Wayne County,D,"46-year-old Al Lewis, killed his estranged wife, 46-year-old Betty McCaster, as she was teaching thirty-six 6-and-7-year-old students at Burt Elementary School.[231]"
4/7/1977,"Whitharral, Texas",Whitharral, Texas,1,0,Hockley County,D,"High School principal, M. O. Tripp, was killed on the front steps of the school by 17-year-old student, Ricardo Lopez, for unknown reasons.[232]"
1/11/1978,"Hopkinsville, Kentucky",Hopkinsville, Kentucky,0,1,Christian County,D,"At 8:10 a.m., 13-year-old student, Andre Davis, was wounded while watching a fight between two students in the front lobby of Christian County Middle School, one of whom had a gun. A 16-year-old was charged with the assault.[233]"
2/9/1978,"St. Albans, West Virginia",St. Albans, West Virginia,1,0,Kanawha County,D,"14-year-old Hayes Junior High School student, Stuart Wayne Perrock, killed 14-year-old schoolmate, Arthur Clinton Smith.[234]"
2/22/1978,"Lansing, Michigan",Lansing, Michigan,1,1,Ingham County,R,"After being taunted for his beliefs, 15-year-old Roger Needham, self-proclaimed Nazi, killed one student and wounded a second with a pistol at Everett High School.[226][235]"
4/26/1978,"Dallas, Texas",Dallas, Texas,1,0,Dallas County,R,"38-year-old Woodrow Porter, a janitor at Paul Dunbar Elementary School, was killed by the 56-year-old grandmother of an 8-year-old who was allegedly spanked by Porter earlier.[236]"
5/18/1978,"Austin, Texas",Austin, Texas,1,0,Travis County,D,"13-year-old John Daniel Christian, son of Lyndon B. Johnson's former press secretary George Christian, killed his English teacher, 29-year-old Wilbur Grayson, with his father's rifle in front of approximately thirty classmates at Murchison Junior High School.[217][226] Christian was arrested and charged but not prosecuted; he was committed to a mental hospital where he was treated for a period and released.[237]"
10/17/1978,"University City, Missouri",University City, Missouri,0,4,St. Louis County,R,"18-year-old Larry Ward and two companions were escorted from the halls of University City High School following a fight with 18-year-old student, Carl Triplett. Ward ran back into the building with a gun and fired shots into a group, critically injuring Triplett in the chest and hip, and wounding 17-year-old Angela Darden and 16-year-old Jennifer Pride. Ward sustained a head injury as he was tackled by assistant principal, Franklin McCallie. His companions grabbed the gun and fled.[238]"
10/17/1978,"Lanett, Alabama",Lanett, Alabama,1,0,Chambers County,D,"13-year-old Robin Robinson, was paddled by Lanett Junior High School principal, Lewis Hoggs, after having a disagreement with another student. Robinson left the school, and returned with a .22-caliber handgun and shot Hoggs, grazing the top of his head.[217][239][240] Robinson was arrested two hours later about two blocks from the school, and later charged in juvenile court.[237][241][242]"
1/29/1979,"San Diego, California",San Diego, California,2,9,San Diego County,R,"Cleveland Elementary School shooting: 16-year-old Brenda Spencer opened fire on Grover Cleveland Elementary School from her home across the street, killing two adults and wounding nine people.[226][243][244][245][246][247]"
4/16/1979,"Milwaukee, Wisconsin",Milwaukee, Wisconsin,0,1,Milwaukee County,D,"17-year-old Timothy Stahle was critically wounded in the leg and upper thigh, with shot gun pellets, as he threw rocks at the windows of Wisconsin Lutheran High School. 28-year-old school janitor, Kenneth B. Stein, was arrested.[248]"
9/28/1979,"Charlestown, Massachusetts",Charlestown, Massachusetts,0,1,Suffolk County,D,"15-year-old sophomore, Darryl Williams, was shot in the neck by a sniper during the half-time interval, while standing with teammates and coach in the end zone of the Charlestown High School football field. The player for the predominantly black Jamaica Plain High School team was left paralysed. A racial motivation was determined by Mayor Kevin White.[249] 17-year-old white youths, Joseph Nardone and Stephen McGonagle, were charged with the shooting and received ten year sentences.[250]"
1/7/1980,"Stamps, Arkansas",Stamps, Arkansas,1,0,Lafayette County,D,"16-year-old Evan Hampton, high school freshman student at Stamps High School, waited in a classroom for 19-year-old student Mike Sanders, whom he immediately killed. Hampton went to the principal's office, turning in the gun and waiting for his arrest by police.[251]"
3/20/1980,"Dallas, Texas",Dallas, Texas,1,0,Dallas County,R,"49-year-old fifth grade teacher, Rosie Pearson, was killed in J. Leslie Patton School by an unknown assailant.[252]"
3/26/1980,"Big Rapids, Michigan",Big Rapids, Michigan,1,0,Mecosta County,R,"Business professor Robert Brauer was killed in class by his 20-year-old student, Thomas Kakonis, at Ferris State College; Kakonis had failed an exam in his class. Kakonis is the son of an associate dean at the college.[253]"
10/31/1980,"Hueytown, Alabama",Hueytown, Alabama,1,1,Jefferson,R,"17-year-old Rudy Farmer, pulled out a .22 caliber pistol and wounded a fellow student in the art room of Hueytown High School, he then turned his gun on himself.[254]"
1/27/1981,"Fayetteville, Arkansas",Fayetteville, Arkansas,1,1,Washington,D,"19-year-old former freshman, James Howard Taylor, brought a 12-gauge single-shot shotgun into the Delta Delta Delta sorority house on the University of Arkansas campus. He entered the house at 5:45 p.m. and terrorized an initiation dinner. After attempting to negotiate a surrender, he was shot by police when he aimed his shot gun into the dining room.[255]"
4/17/1981,"Ann Arbor, Michigan",Ann Arbor, Michigan,2,0,Washtenaw County,R,"As students fled their rooms, after a homemade firebomb set a minor blaze on the sixth floor hallway of Bursley Hall dormitory, 22-year-old psychology student, Leo E. Kelly Jr., fired a sawn-off 12-gauge shotgun at his University of Michigan schoolmates at point-blank range. 19-year-old pre-medical student, Edward Siwik, and 21-year-old resident advisor, Douglas C. McGreaham, died at hospitals a few hours later. Kelly had been dismissed from UM once and was on the verge of another dismissal because of falling grades.[256][257] In 1982, he was convicted on two counts of first-degree murder and sentenced to life.[258]"
12/16/1981,"Portland, Oregon",Portland, Oregon,2,0,Multnomah County,D,"Shortly before noon in Engineering Hall on the school's campus in north Portland, 34-year-old University of Portland night janitor, John C. Holbrook, killed 37-year-old engineering teacher, Brian D. Massey, before taking his own life.[259]"
30029,"Las Vegas, Nevada",Las Vegas, Nevada,1,2,Clark County,D,"17-year-old Valley High School student, Patrick Lizotte, killed his teacher Clarence Pigott and wounded two students.[226][260]"
4/7/1982,"Littleton, Colorado",Littleton, Colorado,1,0,Arapahoe County,R,"13-year-old Deer Creek Junior High School student, Scott Darwin Michael, was killed by 14-year-old classmate, Jason Price Rocha. Rocha was tried as an adult and sentenced to twelve years, plus one year of parole.[261]"
30267,"Jackson, Mississippi",Jackson, Mississippi,2,0,Hinds County,R,"18-year-old school dropout, James Hartzog, killed his girlfriend, 17-year-old Faye Williams in her algebra class at Wingfield High School. Hartzog then took his own life.[262]"
1/20/1983,"St. Louis County, Missouri",St. Louis County, Missouri,2,1,St. Louis County,D,"Eighth grade Parkway South Middle School student David F. Lawler entered a study hall classroom and opened fire, killing 15-year-old Randall Koger, and injuring 15-year-old Greg Saffo. Lawler then took his own life.[226][260]"
2/24/1984,"Los Angeles, California",Los Angeles, California,2,12,?Los Angeles County,R,Tyrone Mitchell killed two people and wounded twelve others when shooting at students leaving 49th Street Elementary School.[226]
4/20/1984,"Detroit, Michigan",Detroit, Michigan,1,0,Wayne County,D,"13-year-old Kelly Crittendon, was accidentally killed by two classmates in a classroom at the Precious Blood School.[263]"
5/17/1984,"Pleasant Hill, Iowa",Pleasant Hill, Iowa,2,0,Polk County,R,"17-year-old student, Todd Dunahoo, killed 16-year-old Valerie Rockafellow in the hallway at Southeast Polk High School, then turned the gun on himself.[264]"
10/24/1984,"Celina, Ohio",Celina, Ohio,1,0,Mercer County,R,"45-year-old Shirley Shindeldecker, killed school bus driver 54-year-old Gene Green, as he stopped to pick up the son of Shindeldecker's estranged husband. After serving nineteen months of her sentence, Shindeldecker was found innocent by reason of insanity, and released.[265]"
1/21/1985,"Goddard, Kansas",Goddard, Kansas,1,3,Sedgwick County,R,"Armed with a rifle and a handgun, 14-year-old James Alan Kearbey, killed principal, James McGee, and wounded two teachers and a student at Goddard Junior High School.[226][260][266]"
10/18/1985,"Detroit, Michigan",Detroit, Michigan,0,6,Wayne County,D,"Murray-Wright High School shooting: During half-time of the homecoming football game between Northwestern and Murray-Wright high schools, a youth opened fire with a shotgun, injuring six students with whom he had fought earlier in the day.[267]"
11/27/1985,"Spanaway, Washington",Spanaway, Washington,3,0,Pierce County,R,"14-year-old Heather Smith, killed 15-year-old Gordon Pickett, who was her ex-boyfriend, and 14-year-old Christopher Ricco, in the gymnasium at Spanaway Junior High School. She later took her own life.[268]"
12/3/1985,"Concord, New Hampshire",Concord, New Hampshire,1,0,Merrimack County,R,"At Concord High School, Louis Cartier, a 16-year-old dropout, entered the school with a shotgun and took students hostage, 18-year-old Patrick Lena Lena and 16-year-old Scott Hayes. Responding police officers fatally shot him after he aimed at football coach, Don LeBrun.[269][270]"
12/10/1985,"Portland, Connecticut",Portland, Connecticut,1,2,Middlesex County,R,"After being suspended for refusing to take off his hat while at school, 13-year-old student Floyd Warmsley pulled out a firearm at Portland Junior High School, shooting and wounding the 53-year-old school secretary Lynn Haddad, and killing 36-year-old janitor David Bangston.[271][272]"
3/6/1986,"Dolton, Illinois",Dolton, Illinois,0,1,Cook County,D,"At about 9:40 a.m., as 52-year-old math teacher Norma Cooper`s third-period algebra class was beginning in a second-floor classroom in the C Building at Thornridge High School, she was shot in the shoulder by a freshman student, with a large-caliber handgun, registered to the youth`s father, a security guard. He is charged with attempted murder, unlawful use of a weapon and aggravated battery. The freshman, a resident of Harvey, was enrolled in the class and apparently had recently received poor grades.[273]"
4/29/1986,"Senath, Missouri",Senath, Missouri,1,0,Dunklin County,R,"A new student, 16-year-old Ritchie Overman, killed studious 15-year-old Leslie Lynn Wyatt, using a 20-gauge shotgun, in front of twenty-six ""totally horrified"" science class students and teacher Sheila Adams, at Senath-Hornersville High School.[274][275]"
5/9/1986,"Fayetteville, North Carolina",Fayetteville, North Carolina,0,3,Cumberland,R,A 17-year-old student shot three classmates at Pine Forest High School with a .25-caliber handgun wounding them. One student was critically injured and treated for a neck wound.[276]
5/16/1986,"Cokeville, Wyoming",Cokeville, Wyoming,2,74,Lincoln County,R,"Cokeville Elementary School hostage crisis: 43-year-old former town marshal David Young, and his 47-year-old wife, Doris Young, took 136 children and eighteen adults hostage at Cokeville Elementary School.[226][277][278]"
