Date,Location,City,State,Deaths,Injuries,County,GOV,Description
12/4/1986,"Lewistown, Montana",Lewistown, Montana,1,3,Fergus County,R,"14-year-old Kristofer Hans intended to shoot his French teacher at Fergus High School, for a failing grade. Instead, Henrietta Smith, who was substituting for LaVonne Simonfy, was shot in the face and died.[279] Hans fired several other shots as he fled, wounding vice principal John Moffatt,[280] and two students.[239] He then ran about a mile to his home, where he was arrested after the police surrounded his house. A classmate said Hans had repeatedly threatened to kill Ms. Simonfy, saying, ""I'm going to blow Simonfy's head off.""[281] He was charged as an adult, convicted and sentenced to 206 years in prison.[226][282]"
2/4/1987,"Northridge, California",Northridge, California,2,0,Los Angeles,R,"35-year-old associate professor of Computer Science Djamshid (Amir) Asgari was confronted in the Engineering Building of California State University, Northridge by 25-year-old graduate student Fawwaz Abdin. Abdin was angry about a low grade Asgari had given him a year earlier, which caused him to be put on academic probation. After Asgari refused to change his grade, Abdin shot him twice, then himself. Asgari later died at the Northridge Hospital.[283]"
3/2/1987,"De Kalb, Missouri",De Kalb, Missouri,2,0,Buchanan County,R,"After constant teasing about his weight, 12-year-old honors student Nathan Ferris killed a 13-year-old classmate, Timothy Perrin, after he bullied him, then turned the gun on himself.[226][260][284]"
4/16/1987,"Detroit, Michigan",Detroit, Michigan,1,2,Wayne County,D,"Murray-Wright High School second shooting: A ninth-grade student at Murray-Wright High School killed 17-year-old Chester Jackson, a student athlete, and wounded 17-year-old Damon Matthews, and 18-year-old Tomeka Turner.[285]"
9/28/1987,"Lansing, Illinois",Lansing, Illinois,0,1,Cook County,D,"After being kicked off the soccer team for smoking on school grounds, 16-year-old student Blake Docter, of Illiana Christian High School wounded 44-year-old John Hoogewerf in the chest, the teacher who had reported him for smoking.[286]"
12/16/1987,"Katy, Texas",Katy, Texas,1,0,Fort Bend,R,"After being refused a date from his classmate, 15 year-old Ramesh Guzman Tumalad shot and killed himself with a .357 Magnum revolver before 23 of his fellow freshman Algebra students at Mayde Creek High School. The evening prior to the shooting, the boy discussed committing suicide to the girl after she informed school administration of his obsession with her.[287]"
2/11/1988,"Largo, Florida",Largo, Florida,1,2,Pinellas County,R,"Pinellas Park_High shooting: 15-year-old students, Jason Harless and Jason McCoy, took stolen .38-caliber revolvers to Pinellas Park High School. Harless shot two assistant principals and a student-teacher inside the school's cafeteria. 53-year-old Richard Allen died from his injuries, Nancy Blackwelder and intern Joseph Bloznalis were wounded.[226][260][288]"
5/20/1988,"Winnetka, Illinois",Winnetka, Illinois,1,5,Cook County,D,"30-year-old Laurie Dann, killed 8-year-old Nick Corwin, inside Hubbard Woods School. Five additional students were wounded. Dann later committed suicide after taking hostages in a nearby home.[226][260][289]"
7/10/1988,"Milwaukee, Wisconsin",Milwaukee, Wisconsin,0,1,Milwaukee County,D,"25-year-old Robin Jenkins, was shot in the elbow after a basketball game turned violent about 7:45 p.m.at Siefert Elementary School. A 28-year-old man was taken into custody the following day.[290]"
9/26/1988,"Greenwood, South Carolina",Greenwood, South Carolina,2,9,Greenwood County,R,"Oakland Elementary School shooting: 19-year-old James William Wilson entered Oakland Elementary School and started firing shots in the cafeteria. Two students were wounded and a first-grade teacher. After reloading his gun in a girls' restroom, he was confronted by physical education teacher, Kat Finkbeiner, who tried to stop him; she was wounded twice. He then entered a third-grade classroom and shot toward the students, killing 8-year-olds Shequila Tawoon Bradley and Tequila Maria Thomas, and wounding five others.[226][260][291]"
11/22/1988,"Abilene, Texas",Abilene, Texas,0,1,Taylor,R,"16-year-old student Mason Staggs shot Cooper High School teacher, Rick Maloney in the face with a pistol, severely injuring the teacher. Staggs left the school and went fishing.[292]"
12/16/1988,"Virginia Beach, Virginia",Virginia Beach, Virginia,1,1,Virginia Beach,R,"At Atlantic Shores Christian School, 16-year-old student Nicholas Elliott shot two teachers with a Mac-10 9-millimeter machine pistol, killing 41-year-old Karen Farley, and critically wounding 37-year-old Sam Marino, then began firing on a classroom full of students before the gun jammed and any students were hit.[260][293][294]"
1/17/1989,"Stockton, California",Stockton, California,6,32,San Joaquin County,R,"Stockton schoolyard shooting: 24-year-old Patrick Edward Purdy fatally shot five children and wounded 32 others at the Cleveland Elementary School, before taking his own life. The victims were children of refugees from Southeast Asia. Purdy had a history of violence, alcoholism and drug addiction, and criminality.[294][295]"
2/10/1989,"Kearns, Utah",Kearns, Utah,0,0,Salt Lake County,R,"At Thomas Jefferson Junior High School, a 12-year-old boy fired a handgun at a vice principal, William Crumbaugh. No one was injured.[296]"
12/5/1989,"McKeesport, Pennsylvania",McKeesport, Pennsylvania,1,1,Allegheny County,D,"While riding the school bus, 16-year-old Serra Catholic High School student, Robert Butler, shot 16-year-old schoolmate, Adam Ference, in the back of the head before fatally shooting himself.[297] Ference was in critical condition but survived.[298]"
